address,postcode,price,bedrooms,bathrooms,area_in_sqft,link
"5516 Sinclair Greens Dr, Baltimore, MD 21206",21206,370000,5,4,2736,https://www.trulia.com/home/5516-sinclair-greens-dr-baltimore-md-21206-92202269
"2772 Lighthouse Point E #402, Baltimore, MD 21224",21214,284900,1,1,939,https://www.trulia.com/home/2772-lighthouse-point-e-402-baltimore-md-21224-402448767
"2610-2610A Peninsula Dr #1311, Baltimore, MD 21230",21214,541571,3,3,1603,https://www.trulia.com/home/2610-2610a-peninsula-dr-1311-baltimore-md-21230-439851700
"2602-2602A W  Peninsula Dr #1307, Baltimore, MD 21230",21215,515102,3,3,1603,https://www.trulia.com/home/2602-2602a-w-peninsula-dr-1307-baltimore-md-21230-439851775
"2608-2608A Peninsula Dr #1310, Baltimore, MD 21230",21215,493476,3,3,1603,https://www.trulia.com/home/2608-2608a-peninsula-dr-1310-baltimore-md-21230-439851951
"2606-2606A Peninsula Dr #1309, Baltimore, MD 21230",21239,505981,3,3,1603,https://www.trulia.com/home/2606-2606a-peninsula-dr-1309-baltimore-md-21230-439852070
"8100 Penwood Ave, Baltimore, MD 21219",21230,359900,NaN,NaN,NaN,https://www.trulia.com/home/8100-Penwood-Ave-Baltimore-MD-21219-36286493
"3023 Fait Ave, Baltimore, MD 21224",21230,274900,1,2,693,https://www.trulia.com/home/3023-fait-ave-baltimore-md-21224-36432301
"617 S  Ellwood Ave, Baltimore, MD 21224",21230,425000,3,4,1576,https://www.trulia.com/home/617-s-ellwood-ave-baltimore-md-21224-36433161
"1628 Lancaster St, Baltimore, MD 21231",21230,599900,2,3,1896,https://www.trulia.com/home/1628-lancaster-st-baltimore-md-21231-36435159
"618 S  Washington St, Baltimore, MD 21231",21230,420000,3,4,2040,https://www.trulia.com/home/618-s-washington-st-baltimore-md-21231-36435894
"423 S  Eden St, Baltimore, MD 21231",21234,80000,3,3,2038,https://www.trulia.com/home/423-s-eden-st-baltimore-md-21231-36437584
"820 N  Glover St, Baltimore, MD 21205",21231,220000,3,2,NaN,https://www.trulia.com/home/820-n-glover-st-baltimore-md-21205-36446420
"2524 E  Federal St, Baltimore, MD 21213",21224,99900,3,1,NaN,https://www.trulia.com/home/2524-e-federal-st-baltimore-md-21213-36452191
"1202 Darley Ave, Baltimore, MD 21218",21213,235000,3,1,NaN,https://www.trulia.com/home/1202-darley-ave-baltimore-md-21218-36461603
"1215 E  Preston St, Baltimore, MD 21202",21218,298900,4,3,2100,https://www.trulia.com/home/1215-e-preston-st-baltimore-md-21202-36468155
"323 E  Lanvale St, Baltimore, MD 21202",21211,399900,3,3,NaN,https://www.trulia.com/home/323-e-lanvale-st-baltimore-md-21202-36473574
"3704 N  Charles St #904, Baltimore, MD 21218",21218,565000,3,3,1860,https://www.trulia.com/home/3704-n-charles-st-904-baltimore-md-21218-36476059
"3412 Seneca St, Baltimore, MD 21211",21218,484900,3,3,2018,https://www.trulia.com/home/3412-seneca-st-baltimore-md-21211-36480516
"2302 Whittier Ave, Baltimore, MD 21217",21211,235000,2,1,2644,https://www.trulia.com/home/2302-whittier-ave-baltimore-md-21217-36481157
"808 Whitelock St, Baltimore, MD 21217",21217,449900,5,5,4100,https://www.trulia.com/home/808-whitelock-st-baltimore-md-21217-36482896
"2127 Allendale Rd, Baltimore, MD 21216",21217,224900,3,3,1152,https://www.trulia.com/home/2127-allendale-rd-baltimore-md-21216-36489902
"1617 Ashburton St, Baltimore, MD 21216",21215,215000,4,NaN,NaN,https://www.trulia.com/home/1617-ashburton-st-baltimore-md-21216-36491616
"4019 Bareva Rd, Baltimore, MD 21215",21215,239000,4,2,1178,https://www.trulia.com/home/4019-bareva-rd-baltimore-md-21215-36497768
"2200 N  Rosedale St, Baltimore, MD 21216",21215,220000,3,2,1344,https://www.trulia.com/home/2200-n-rosedale-st-baltimore-md-21216-36501233
"3601 Cottage Ave, Baltimore, MD 21215",21216,69000,3,1,NaN,https://www.trulia.com/home/3601-cottage-ave-baltimore-md-21215-36502599
"4437 Pall Mall Rd, Baltimore, MD 21215",21230,269000,4,4,NaN,https://www.trulia.com/home/4437-pall-mall-rd-baltimore-md-21215-36503892
"2801 Santa Fe Ave, Baltimore, MD 21215",21202,199250,3,1,NaN,https://www.trulia.com/home/2801-santa-fe-ave-baltimore-md-21215-36504252
"3102 Belmont Ave, Baltimore, MD 21216",21201,170000,3,1,1200,https://www.trulia.com/home/3102-belmont-ave-baltimore-md-21216-36512334
"2864 Rayner Ave, Baltimore, MD 21216",21230,159000,4,3,2436,https://www.trulia.com/home/2864-rayner-ave-baltimore-md-21216-36514790
"417 Mount Holly St, Baltimore, MD 21229",21230,150000,4,4,2223,https://www.trulia.com/home/417-mount-holly-st-baltimore-md-21229-36522613
